nonanal   E_solv = -5.090622511185332 kcal/mol
benzyl_bromide   E_solv = -3.473958212923037 kcal/mol
1_chloropropane   E_solv = -1.3774544019828716 kcal/mol
2_methylbutan_2_ol   E_solv = -5.303305746551606 kcal/mol
methyl_tert_butyl_ether   E_solv = -2.4639687055824906 kcal/mol
3_phenylpropanol   E_solv = -8.317630577508844 kcal/mol
teflurane   E_solv = -2.98084371379987 kcal/mol
butanenitrile   E_solv = -3.7345581896883764 kcal/mol
hept_1_ene   E_solv = -0.522344500598111 kcal/mol
1_bromo_2_chloroethane   E_solv = -1.7323087032687725 kcal/mol
octanal   E_solv = -5.12141246581657 kcal/mol
24_dimethylpyridine   E_solv = -4.287981951439503 kcal/mol
4_ethylphenol   E_solv = -8.905805215780335 kcal/mol
1_iodopentane   E_solv = -2.054835947426308 kcal/mol
3_methylheptane   E_solv = -0.05187459797723019 kcal/mol
ethyl_phenyl_ether   E_solv = -4.1850992114194865 kcal/mol
isobutyraldehyde   E_solv = -4.766996859635507 kcal/mol
4_hydroxybenzaldehyde   E_solv = -13.608480088335352 kcal/mol
23_dimethylphenol   E_solv = -8.282260102635718 kcal/mol
butanone   E_solv = -5.035929089870911 kcal/mol
acenaphthene   E_solv = -4.508840209319315 kcal/mol
2_methylpentane   E_solv = -0.03931764958350372 kcal/mol
n_octane   E_solv = -0.05627587243425881 kcal/mol
cyclopentanol   E_solv = -6.463050305316308 kcal/mol
2_iodophenol   E_solv = -4.951567862346988 kcal/mol
methanol   E_solv = -7.023424824284409 kcal/mol
propan_2_ol   E_solv = -6.0962751239298045 kcal/mol
methyl_cyclopropyl_ketone   E_solv = -4.599776804516643 kcal/mol
p_dibromobenzene   E_solv = -2.2470023344815773 kcal/mol
propene   E_solv = -0.5565190286700196 kcal/mol
1_bromoheptane   E_solv = -1.1100618272715446 kcal/mol
butan_1_ol   E_solv = -6.115642766835422 kcal/mol
2_methyltetrahydrofuran   E_solv = -2.749969191450967 kcal/mol
hexanal   E_solv = -5.051223934167945 kcal/mol
4_methoxyaniline   E_solv = -9.907222475096658 kcal/mol
2_methylbut_2_ene   E_solv = -0.6457031578231947 kcal/mol
1234_tetrachlorobenzene   E_solv = -1.6246194622766374 kcal/mol
24_dimethylphenol   E_solv = -8.277280038588652 kcal/mol
1_nitropentane   E_solv = -2.7474141376483785 kcal/mol
2_methyl_but_2_ene   E_solv = -0.6457031578231947 kcal/mol
pentanoic_acid   E_solv = -10.428033731871254 kcal/mol
methyl_cyanoacetate   E_solv = -8.331630755784982 kcal/mol
hexan_2_one   E_solv = -4.751561608159464 kcal/mol
di_n_propylamine   E_solv = -3.801679608474499 kcal/mol
4_formylpyridine   E_solv = -8.482222687511246 kcal/mol
2_isobutylpyrazine   E_solv = -5.828513376878086 kcal/mol
3_ethylpyridine   E_solv = -4.237736301798975 kcal/mol
n_propylamine   E_solv = -5.301048739397803 kcal/mol
n_hexylamine   E_solv = -5.261120118976668 kcal/mol
benzonitrile   E_solv = -4.787580751432773 kcal/mol
n_propanethiol   E_solv = -3.417585674357498 kcal/mol
4_methylpentan_2_ol   E_solv = -4.7542350602187256 kcal/mol
1_chloro_222_trifluoroethane   E_solv = -3.003845145673878 kcal/mol
4_nitroaniline   E_solv = -11.586535041459602 kcal/mol
2_naphthol   E_solv = -11.259308231913385 kcal/mol
4_methylpyridine   E_solv = -4.494713068230051 kcal/mol
heptanal   E_solv = -5.010560591191316 kcal/mol
tetrafluoromethane   E_solv = -0.6038496450763547 kcal/mol
dibromomethane   E_solv = -1.4780570897579062 kcal/mol
fluorene   E_solv = -5.1595580034957855 kcal/mol
benzaldehyde   E_solv = -6.734544836470671 kcal/mol
cyclohexanol   E_solv = -6.493269056390351 kcal/mol
13_dichlorobenzene   E_solv = -2.166137943965182 kcal/mol
25_dimethylphenol   E_solv = -6.224419340948191 kcal/mol
dimethyl_sulfate   E_solv = -8.849840830996202 kcal/mol
methyl_cyclopropanecarboxylate   E_solv = -5.199940485021117 kcal/mol
nonan_1_ol   E_solv = -6.596054892040384 kcal/mol
methyl_methanesulfonate   E_solv = -9.082070963717898 kcal/mol
2_chlorotoluene   E_solv = -2.464260968274481 kcal/mol
n_hexyl_acetate   E_solv = -5.055237277816689 kcal/mol
methylamine   E_solv = -5.907565036458762 kcal/mol
2_nitroaniline   E_solv = -8.494760659438068 kcal/mol
iodobenzene   E_solv = -2.606671709038034 kcal/mol
124_trichlorobenzene   E_solv = -1.8891744313127834 kcal/mol
methyl_p_nitrobenzoate   E_solv = -6.9290104323366615 kcal/mol
formaldehyde   E_solv = -5.467334016809214 kcal/mol
n_propyl_propanoate   E_solv = -4.709582569572563 kcal/mol
p_toluidine   E_solv = -8.22136497186056 kcal/mol
propane   E_solv = -0.0241254757145254 kcal/mol
ethanethiol   E_solv = -3.5109491920089346 kcal/mol
222_trifluoroethanol   E_solv = -9.678350526836596 kcal/mol
cyclopentanone   E_solv = -4.590205172447166 kcal/mol
2_chloro_2_methylpropane   E_solv = -1.5728286423239812 kcal/mol
methyl_benzoate   E_solv = -6.364934642664312 kcal/mol
propanone   E_solv = -5.075675291557861 kcal/mol
14_dioxane   E_solv = -4.686533449391702 kcal/mol
N_methylacetamide   E_solv = -9.671827763541916 kcal/mol
di_isopropyl_sulfide   E_solv = -2.407539436032371 kcal/mol
124_trimethylbenzene   E_solv = -2.3796766789261614 kcal/mol
NN_dimethylaniline   E_solv = -5.306718418428639 kcal/mol
pentan_2_ol   E_solv = -6.099919796824721 kcal/mol
chlorodifluoromethane   E_solv = -3.68572495773678 kcal/mol
333_trimethoxypropionitrile   E_solv = -8.92143301650871 kcal/mol
di_n_propyl_sulfide   E_solv = -2.1775926862264137 kcal/mol
2_methylpropan_1_ol   E_solv = -6.365994762288847 kcal/mol
dimethylamine   E_solv = -4.619655010575435 kcal/mol
n_butanethiol   E_solv = -3.479238767204904 kcal/mol
1235_tetrachlorobenzene   E_solv = -1.2534843903026118 kcal/mol
ethyl_pentanoate   E_solv = -4.743245740600997 kcal/mol
thiophenol   E_solv = -4.647344506443887 kcal/mol
pent_1_yne   E_solv = -1.0788879050474547 kcal/mol
isopropylbenzene   E_solv = -2.5125489606307356 kcal/mol
E_hept_2_ene   E_solv = -0.5475314599929506 kcal/mol
phenol   E_solv = -9.117708789846926 kcal/mol
tert_butylbenzene   E_solv = -2.497499197965468 kcal/mol
diethylamine   E_solv = -3.9373421163840017 kcal/mol
benzyl_chloride   E_solv = -3.7853745290225467 kcal/mol
m_cresol   E_solv = -8.649449412940166 kcal/mol
p_xylene   E_solv = -2.4870931084455568 kcal/mol
methyl_p_methoxybenzoate   E_solv = -7.856148742479288 kcal/mol
2_methoxyaniline   E_solv = -9.180161424545245 kcal/mol
2_chlorophenol   E_solv = -6.111719009870153 kcal/mol
2_methylbutan_1_ol   E_solv = -5.79524495299645 kcal/mol
3_ethylphenol   E_solv = -8.585427561606268 kcal/mol
111_trifluoropropan_2_ol   E_solv = -10.526015462650696 kcal/mol
tetrachloroethene   E_solv = -0.09019600971548661 kcal/mol
4_methyl_1h_imidazole   E_solv = -9.018798660778605 kcal/mol
ethane   E_solv = -0.01805526213205943 kcal/mol
nitrobenzene   E_solv = -4.179448882674097 kcal/mol
1_bromobutane   E_solv = -1.109281813834398 kcal/mol
cyclohepta_135_triene   E_solv = -2.491616049328667 kcal/mol
n_propylbenzene   E_solv = -2.503921382058342 kcal/mol
nitromethane   E_solv = -3.1940593285688075 kcal/mol
4_isopropyltoluene   E_solv = -2.2423906766610813 kcal/mol
fluorobenzene   E_solv = -2.5596215130797164 kcal/mol
butanoic_acid   E_solv = -10.37733195165017 kcal/mol
methyl_pentanoate   E_solv = -4.945277634853789 kcal/mol
n_pentane   E_solv = -0.03730413928159515 kcal/mol
triethyl_phosphate   E_solv = -10.629897042201668 kcal/mol
chlorobenzene   E_solv = -2.5746660827603636 kcal/mol
n_butylacetamide   E_solv = -10.70217075951251 kcal/mol
dimethoxymethane   E_solv = -3.6133202958192814 kcal/mol
11_dichloroethene   E_solv = -1.1415547780379363 kcal/mol
dimethyl_ether   E_solv = -2.702292871073943 kcal/mol
NN_dimethylbenzamide   E_solv = -8.994789211528666 kcal/mol
3_nitroaniline   E_solv = -10.275020182772517 kcal/mol
4_ethyltoluene   E_solv = -2.4206783526454365 kcal/mol
2_methoxyethanol   E_solv = -10.270324920987987 kcal/mol
NN_dimethyl_p_nitrobenzamide   E_solv = -9.896076860785252 kcal/mol
3_methoxyphenol   E_solv = -10.728307520359076 kcal/mol
2_methylpropan_2_ol   E_solv = -5.891600662320956 kcal/mol
benzene   E_solv = -2.703893664547956 kcal/mol
methyl_acetate   E_solv = -5.404947507711854 kcal/mol
oct_1_yne   E_solv = -1.083799630861232 kcal/mol
propanoic_acid   E_solv = -10.47604125353487 kcal/mol
1_iodoheptane   E_solv = -2.0550559171603373 kcal/mol
phenyl_methyl_sulfide   E_solv = -3.471101536230771 kcal/mol
methyl_formate   E_solv = -5.139096809406509 kcal/mol
methanesulfonyl_chloride   E_solv = -8.671909632053191 kcal/mol
dimethyl_sulfoxide   E_solv = -8.822130380461129 kcal/mol
di_n_propyl_ether   E_solv = -2.123515966852854 kcal/mol
35_dimethylpyridine   E_solv = -4.04100088416981 kcal/mol
1_bromooctane   E_solv = -1.1075656823780187 kcal/mol
methylcyclopentane   E_solv = -0.05834216052144379 kcal/mol
isoflurane   E_solv = -6.630502729271386 kcal/mol
12_dibromoethane   E_solv = -1.5670360684947746 kcal/mol
trimethoxymethylbenzene   E_solv = -6.286296467709254 kcal/mol
hex_1_yne   E_solv = -1.0874071317723322 kcal/mol
phenyl_trifluoroethyl_ether   E_solv = -7.559251135130509 kcal/mol
chloromethane   E_solv = -1.4985275936850242 kcal/mol
trichloroethene   E_solv = -1.142712564929247 kcal/mol
m_xylene   E_solv = -2.481926821410295 kcal/mol
4_chloro_3_methylphenol   E_solv = -8.381244981715946 kcal/mol
2_butoxyethanol   E_solv = -5.961946842925312 kcal/mol
isobutyl_formate   E_solv = -5.256740075796326 kcal/mol
E_oct_2_enal   E_solv = -5.423654740391631 kcal/mol
ethyl_propanoate   E_solv = -4.842597736832093 kcal/mol
thiophene   E_solv = -2.2420117616966424 kcal/mol
3_nitrophenol   E_solv = -10.243554088735902 kcal/mol
24_dimethylpentane   E_solv = -0.03748868205952967 kcal/mol
11_diacetoxyethane   E_solv = -8.876194567175421 kcal/mol
234_trimethylpentane   E_solv = -0.03838396678263971 kcal/mol
123_trimethylbenzene   E_solv = -2.398795297087227 kcal/mol
N_methylmorpholine   E_solv = -4.931066372861372 kcal/mol
anthracene   E_solv = -5.982111700285856 kcal/mol
2_chloroaniline   E_solv = -7.969978528530164 kcal/mol
111_trimethoxyethane   E_solv = -5.414050089564385 kcal/mol
n_propyl_butyrate   E_solv = -4.573947994760717 kcal/mol
hex_1_ene   E_solv = -0.5212207489895098 kcal/mol
trimethyl_phosphate   E_solv = -11.231283301884671 kcal/mol
26_dimethylphenol   E_solv = -6.023934609655816 kcal/mol
diisopropyl_ether   E_solv = -2.121574408869689 kcal/mol
2_phenylethanol   E_solv = -8.468421212292267 kcal/mol
2_methylpropene   E_solv = -0.5928949541052971 kcal/mol
hept_1_yne   E_solv = -1.0760558740957806 kcal/mol
22_dimethylpropane   E_solv = -0.027835681406359288 kcal/mol
diiodomethane   E_solv = -3.287721407345182 kcal/mol
1122_tetrachloroethane   E_solv = -3.0652345792549975 kcal/mol
methyl_trifluoroacetate   E_solv = -4.297413478324454 kcal/mol
25_dimethylpyridine   E_solv = -4.107961828753434 kcal/mol
pentanenitrile   E_solv = -3.724821891356048 kcal/mol
4_ethylpyridine   E_solv = -4.422821524778564 kcal/mol
3_cyanophenol   E_solv = -11.11282370531901 kcal/mol
1_bromo_2_methylpropane   E_solv = -1.0891454650384704 kcal/mol
iodomethane   E_solv = -2.376979318163345 kcal/mol
3_hydroxybenzaldehyde   E_solv = -12.468770609607912 kcal/mol
2_methylhexane   E_solv = -0.045114734104205585 kcal/mol
n_pentyl_acetate   E_solv = -5.068770058747869 kcal/mol
33_dimethylbutan_2_one   E_solv = -4.5435263420822425 kcal/mol
123_trichlorobenzene   E_solv = -2.1349065852434075 kcal/mol
trimethoxy_methane   E_solv = -5.773588740798245 kcal/mol
iodoethane   E_solv = -2.2661981737410266 kcal/mol
3_nitrotoluene   E_solv = -3.923293604011675 kcal/mol
N_methylpiperazine   E_solv = -6.457754882156426 kcal/mol
34_dimethylpyridine   E_solv = -4.242114238323715 kcal/mol
methyl_propanoate   E_solv = -5.062219566075694 kcal/mol
pyridine   E_solv = -4.590541664552146 kcal/mol
propanenitrile   E_solv = -3.8373174358771687 kcal/mol
N_methylpiperidine   E_solv = -2.8492226398153853 kcal/mol
n_hexane   E_solv = -0.043036596298718956 kcal/mol
ethylamine   E_solv = -5.385276945215513 kcal/mol
m_bis_trifluoromethyl_benzene   E_solv = -5.200649917839046 kcal/mol
3_methylbut_1_ene   E_solv = -0.4771183903123309 kcal/mol
cyclohexene   E_solv = -0.6305282060740776 kcal/mol
14_dimethyl_piperazine   E_solv = -5.1489360880870505 kcal/mol
acetophenone   E_solv = -6.64831561676909 kcal/mol
3_methyl_but_1_ene   E_solv = -0.4771183903123309 kcal/mol
35_dimethylphenol   E_solv = -8.841191819577398 kcal/mol
methyl_chloroacetate   E_solv = -5.914839776279013 kcal/mol
hexan_3_ol   E_solv = -5.404027046337799 kcal/mol
pentan_3_ol   E_solv = -5.650869641328704 kcal/mol
butyraldehyde   E_solv = -5.035929089870911 kcal/mol
2_bromopropane   E_solv = -1.3024236157666564 kcal/mol
ethyl_benzoate   E_solv = -6.1230867709983015 kcal/mol
n_butylbenzene   E_solv = -2.5053485695631306 kcal/mol
butan_2_ol   E_solv = -5.523276775275181 kcal/mol
4_methylacetophenone   E_solv = -6.53647617174116 kcal/mol
acetic_acid   E_solv = -10.952829214410515 kcal/mol
piperidine   E_solv = -4.115066752282646 kcal/mol
heptan_2_one   E_solv = -4.735019102975038 kcal/mol
cis_12_dimethylcyclohexane   E_solv = -0.039269414412687824 kcal/mol
decan_1_ol   E_solv = -6.5014125524424395 kcal/mol
ethanol   E_solv = -6.871375636442604 kcal/mol
halothane   E_solv = -2.1956737403421482 kcal/mol
cyclohexanone   E_solv = -4.655634334773612 kcal/mol
propionaldehyde   E_solv = -5.075388823423513 kcal/mol
bromotrifluoromethane   E_solv = -0.5574720752565884 kcal/mol
ethanamide   E_solv = -11.226474977380002 kcal/mol
2_iodopropane   E_solv = -2.207649495915101 kcal/mol
o_xylene   E_solv = -2.5125478891323882 kcal/mol
1_naphthol   E_solv = -10.804154645791838 kcal/mol
methyl_trimethylacetate   E_solv = -4.584230540869799 kcal/mol
methylcyclohexane   E_solv = -0.04407967487284761 kcal/mol
Z_pent_2_ene   E_solv = -0.539984281166389 kcal/mol
1_chloroheptane   E_solv = -1.4109374677936417 kcal/mol
phenanthrene   E_solv = -6.003525497885181 kcal/mol
3_methylpentane   E_solv = -0.036586748374341914 kcal/mol
decan_2_one   E_solv = -4.761603776075329 kcal/mol
4_bromotoluene   E_solv = -2.4486097273359424 kcal/mol
2_methoxy_111_trimethoxyethane   E_solv = -9.159143929211416 kcal/mol
anisole   E_solv = -4.433494569433229 kcal/mol
morpholine   E_solv = -6.2941059800049155 kcal/mol
1112_tetrachloroethane   E_solv = -1.9188774202473615 kcal/mol
ethyl_acetate   E_solv = -4.910413893371585 kcal/mol
2_methylbutane   E_solv = -0.030980639522867576 kcal/mol
diethyl_succinate   E_solv = -8.621815484211732 kcal/mol
